SNo,Provinces,Name,Municipal sub-type,Population -2011,Population -2006,Change (%),Land area (km²),Population density (per km2),,,
672,Newfoundland and Labrador,Renews-Cappahayden,Town,310,421,?26.4,127.84,2.4,,,
673,Newfoundland and Labrador,Rigolet,Town,306,269,13.8,3.61,84.7,,,
674,Newfoundland and Labrador,River of Ponds,Town,228,251,?9.2,4.69,48.6,,,
675,Newfoundland and Labrador,Riverhead,Town,212,220,?3.6,105.6,2,,,
676,Newfoundland and Labrador,Roberts Arm,Town,807,841,?4.0,35.79,22.6,,,
677,Newfoundland and Labrador,Rocky Harbour,Town,979,978,0.1,12.08,81.1,,,
678,Newfoundland and Labrador,Roddickton-Bide Arm,Town,"1,057","1,103",?4.2,47.71,22.2,,,
679,Newfoundland and Labrador,Rose Blanche-Harbour le Cou,Town,457,547,?16.5,4.44,102.9,,,
680,Newfoundland and Labrador,Rushoon,Town,288,319,?9.7,6.15,46.8,,,
681,Newfoundland and Labrador,Sally's Cove,Town,27,63,?57.1,4.54,6,,,
682,Newfoundland and Labrador,Salmon Cove,Town,695,707,?1.7,4.21,165.2,,,
683,Newfoundland and Labrador,Salvage,Town,136,174,?21.8,15.86,8.6,,,
684,Newfoundland and Labrador,Sandringham,Town,274,255,7.5,9.6,28.5,,,
685,Newfoundland and Labrador,Savage Cove-Sandy Cove,Town,132,133,?0.8,9.01,14.7,,,
686,Newfoundland and Labrador,Seal Cove (Fortune Bay),Town,263,315,?16.5,2.42,108.8,,,
687,Newfoundland and Labrador,Seal Cove (White Bay),Town,304,331,?8.2,10.79,28.2,,,
688,Newfoundland and Labrador,Seldom-Little Seldom,Town,427,444,?3.8,14.6,29.3,,,
689,Newfoundland and Labrador,Small Point-Adam's Cove-Blackhead-Broad Cove,Town,389,438,?11.2,22.22,17.5,,,
690,Newfoundland and Labrador,South Brook,Town,487,531,?8.3,9.07,53.7,,,
691,Newfoundland and Labrador,South River,Town,655,649,0.9,6.06,108,,,
692,Newfoundland and Labrador,Southern Harbour,Town,534,474,12.7,5.41,98.8,,,
693,Newfoundland and Labrador,Spaniard's Bay,Town,"2,622","2,540",3.2,65.73,39.9,,,
694,Newfoundland and Labrador,Springdale,Town,"2,907","2,764",5.2,17.6,165.2,,,
695,Newfoundland and Labrador,St. Alban's,Town,"1,233","1,278",?3.5,20.85,59.1,,,
696,Newfoundland and Labrador,St. Anthony,Town,"2,418","2,476",?2.3,37.02,65.3,,,
697,Newfoundland and Labrador,St. Bernard's-Jacques Fontaine,Town,470,525,?10.5,16.44,28.6,,,
698,Newfoundland and Labrador,St. Brendan's,Town,147,203,?27.6,10.14,14.5,,,
699,Newfoundland and Labrador,St. Bride's,Town,308,386,?20.2,5.84,52.7,,,
700,Newfoundland and Labrador,St. George's,Town,"1,207","1,246",?3.1,25.83,46.7,,,
701,Newfoundland and Labrador,St. Jacques-Coomb's Cove,Town,618,669,?7.6,83.76,7.4,,,
702,Newfoundland and Labrador,St. Joseph's,Town,115,144,?20.1,32.31,3.6,,,
703,Newfoundland and Labrador,St. Lawrence,Town,"1,244","1,349",?7.8,35.5,35,,,
704,Newfoundland and Labrador,St. Lewis,Town,207,252,?17.9,9.25,22.4,,,
705,Newfoundland and Labrador,St. Lunaire-Griquet,Town,661,666,?0.8,16.68,39.6,,,
706,Newfoundland and Labrador,St. Mary's,Town,439,482,?8.9,37.05,11.8,,,
707,Newfoundland and Labrador,St. Pauls,Town,258,309,?16.5,5.35,48.2,,,
708,Newfoundland and Labrador,St. Shott's,Town,81,109,?25.7,1.14,71.3,,,
709,Newfoundland and Labrador,St. Vincent's-St. Stephen's-Peter's River,Town,340,363,?6.3,87.5,3.9,,,
710,Newfoundland and Labrador,Steady Brook,Town,408,435,?6.2,1.22,334.8,,,
711,Newfoundland and Labrador,Stephenville,Town,"6,719","6,588",2,35.68,188.3,,,
712,Newfoundland and Labrador,Stephenville Crossing,Town,"1,875","1,960",?4.3,31.2,60.1,,,
713,Newfoundland and Labrador,Summerford,Town,853,976,?12.6,16.06,53.1,,,
714,Newfoundland and Labrador,Sunnyside,Town,452,470,?3.8,37.95,11.9,,,
715,Newfoundland and Labrador,Terra Nova,Town,83,68,22.1,2.46,33.7,,,
716,Newfoundland and Labrador,Terrenceville,Town,530,536,?1.1,14.5,36.6,,,
717,Newfoundland and Labrador,Tilt Cove,Town,5,5,0,3.1,1.6,,,
718,Newfoundland and Labrador,Tilting,Town,204,248,?17.7,17.63,11.6,,,
719,Newfoundland and Labrador,Torbay,Town,"7,397","6,281",17.8,34.88,212.1,,,
720,Newfoundland and Labrador,Traytown,Town,283,302,?6.3,13.31,21.3,,,
721,Newfoundland and Labrador,Trepassey,Town,570,763,?25.3,55.81,10.2,,,
722,Newfoundland and Labrador,Trinity,Town,137,191,?28.3,12.92,10.6,,,
723,Newfoundland and Labrador,Trinity Bay North,Town,"1,827","1,997",?8.5,25.43,71.8,,,
724,Newfoundland and Labrador,Triton,Town,998,"1,029",?3.0,7.55,132.2,,,
725,Newfoundland and Labrador,Trout River,Town,576,604,?4.6,5.91,97.4,,,
726,Newfoundland and Labrador,Twillingate,Town,"2,269","2,448",?7.3,25.74,88.2,,,
727,Newfoundland and Labrador,Upper Island Cove,Town,"1,594","1,667",?4.4,7.85,203,,,
728,Newfoundland and Labrador,Victoria,Town,"1,764","1,769",?0.3,17.64,100,,,
729,Newfoundland and Labrador,Wabana,Town,"2,346","2,418",?3.0,14.5,161.8,,,
730,Newfoundland and Labrador,Wabush,Town,"1,861","1,739",7,46.25,40.2,,,
731,Newfoundland and Labrador,West St. Modeste,Town,120,140,?14.3,7.78,15.4,,,
732,Newfoundland and Labrador,Westport,Town,220,246,?10.6,5.13,42.9,,,
733,Newfoundland and Labrador,Whitbourne,Town,916,855,7.1,21.41,42.8,,,
734,Newfoundland and Labrador,Whiteway,Town,293,220,33.2,22.64,12.9,,,
735,Newfoundland and Labrador,Winterland,Town,363,337,7.7,54.34,6.7,,,
736,Newfoundland and Labrador,Winterton,Town,484,518,?6.6,10.52,46,,,
737,Newfoundland and Labrador,Witless Bay,Town,"1,179","1,070",10.2,17.49,67.4,,,
738,Newfoundland and Labrador,Woodstock,Town,190,199,?4.5,10.09,18.8,,,
739,Newfoundland and Labrador,Woody Point,Town,281,355,?20.8,2.91,96.4,,,
740,Newfoundland and Labrador,York Harbour,Town,347,346,0.3,13.9,25,,,
741,Alberta,Acme,Village,653,656,?0.5,2.47,263.9,,,
742,Alberta,Airdrie,City,"42,564","28,927",47.1,33.1,"1,286.00",,,
743,Alberta,Alberta Beach,Village,865,884,?2.1,1.98,436.7,,,
744,Alberta,Alix,Village,830,851,?2.5,3.15,263.4,,,
745,Alberta,Alliance,Village,174,158,10.1,0.64,270.1,,,
746,Alberta,Amisk,Village,207,172,20.3,0.76,272.2,,,
747,Alberta,Andrew,Village,379,465,?18.5,1.23,308.7,,,
748,Alberta,Argentia Beach,Summer village,15,52,?71.2,0.69,21.6,,,
749,Alberta,Arrowwood,Village,188,221,?14.9,0.66,286.1,,,
750,Alberta,Athabasca,Town,"2,990","2,580",15.9,17.48,171.1,,,
751,Alberta,Banff,Town,"7,584","6,700",13.2,4.88,"1,555.00",,,
752,Alberta,Barnwell,Village,771,618,24.8,1.49,517.2,,,
753,Alberta,Barons,Village,315,276,14.1,0.68,462.2,,,
754,Alberta,Barrhead,Town,"4,432","4,209",5.3,8.1,547.2,,,
755,Alberta,Bashaw,Town,873,796,9.7,2.84,306.9,,,
756,Alberta,Bassano,Town,"1,282","1,345",?4.7,5.16,248.6,,,
757,Alberta,Bawlf,Village,403,367,9.8,0.96,418.5,,,
758,Alberta,Beaumont,Town,"13,284","8,961",48.2,10.5,"1,264.80",,,
759,Alberta,Beaverlodge,Town,"2,365","2,264",4.5,5.58,424,,,
760,Alberta,Beiseker,Village,785,804,?2.4,2.84,276.8,,,
761,Alberta,Bentley,Town,"1,073","1,083",?0.9,2.3,466.3,,,
762,Alberta,Berwyn,Village,526,516,1.9,1.66,316.7,,,
763,Alberta,Betula Beach,Summer village,10,15,?33.3,0.18,54.5,,,
764,Alberta,Big Valley,Village,364,351,3.7,1.84,198.3,,,
765,Alberta,Birch Cove,Summer village,45,38,18.4,0.29,157.8,,,
766,Alberta,Birchcliff,Summer village,112,125,?10.4,0.98,114,,,
767,Alberta,Bittern Lake,Village,224,225,?0.4,6.64,33.7,,,
768,Alberta,Black Diamond,Town,"2,373","1,900",24.9,3.21,740.3,,,
769,Alberta,Blackfalds,Town,"6,300","4,618",36.4,16.36,385,,,
770,Alberta,Bon Accord,Town,"1,488","1,534",?3.0,2.11,706.2,,,
771,Alberta,Bondiss,Summer village,106,131,?19.1,1.33,79.9,,,
772,Alberta,Bonnyville,Town,"6,216","5,832",6.6,14.1,440.7,,,
773,Alberta,Bonnyville Beach,Summer village,95,97,?2.1,0.38,253.2,,,
774,Alberta,Botha,Village,175,185,?5.4,1.09,160.7,,,
775,Alberta,Bow Island,Town,"2,025","1,790",13.1,5.92,342.1,,,
776,Alberta,Bowden,Town,"1,241","1,210",2.6,2.73,454.7,,,
777,Alberta,Boyle,Village,916,854,7.3,7.28,125.8,,,
778,Alberta,Breton,Village,496,550,?9.8,1.73,286.5,,,
779,Alberta,Brooks,City,"13,676","12,508",9.3,18.19,751.9,,,
780,Alberta,Bruderheim,Town,"1,155","1,215",?4.9,4.23,273.2,,,
781,Alberta,Burnstick Lake,Summer village,16,43,?62.8,0.18,89.9,,,
782,Alberta,Calgary,City,"10,96,833","9,88,812",10.9,825.29,"1,329.00",,,
783,Alberta,Calmar,Town,"1,970","1,959",0.6,4.65,423.7,,,
784,Alberta,Camrose,City,"17,286","15,630",10.6,42.5,406.7,,,
785,Alberta,Canmore,Town,"12,288","12,039",2.1,68.9,178.4,,,
786,Alberta,Carbon,Village,592,570,3.9,2,295.6,,,
787,Alberta,Cardston,Town,"3,580","3,452",3.7,8.64,414.1,,,
788,Alberta,Carmangay,Village,367,336,9.2,1.86,197.1,,,
789,Alberta,Caroline,Village,501,515,?2.7,1.98,252.8,,,
790,Alberta,Carstairs,Town,"3,442","2,699",27.5,11.53,298.4,,,
791,Alberta,Castle Island,Summer village,19,22,?13.6,0.05,361.9,,,
792,Alberta,Castor,Town,932,931,0.1,2.72,343.1,,,
793,Alberta,Cereal,Village,134,126,6.3,0.95,141.6,,,
794,Alberta,Champion,Village,378,364,3.8,0.88,429.7,,,
795,Alberta,Chauvin,Village,334,308,8.4,2.32,143.9,,,
796,Alberta,Chestermere,City,"14,824","9,923",49.4,32.64,454.1,,,
797,Alberta,Chipman,Village,284,253,12.3,9.61,29.5,,,
798,Alberta,Claresholm,Town,"3,758","3,700",1.6,9.08,414,,,
799,Alberta,Clive,Village,675,562,20.1,2.12,318.3,,,
800,Alberta,Clyde,Village,503,470,7,1.36,370.7,,,
801,Alberta,Coaldale,Town,"7,493","6,177",21.3,7.95,942.8,,,
802,Alberta,Coalhurst,Town,"1,963","1,523",28.9,2.39,820.3,,,
803,Alberta,Cochrane,Town,"17,580","13,760",27.8,30.03,585.5,,,
804,Alberta,Cold Lake,City,"13,839","11,991",15.4,59.3,233.4,,,
805,Alberta,Consort,Village,689,739,?6.8,2.83,243.3,,,
806,Alberta,Coronation,Town,947,"1,015",?6.7,3.73,253.6,,,
807,Alberta,Coutts,Village,277,305,?9.2,0.98,283.3,,,
808,Alberta,Cowley,Village,236,219,7.8,1.4,168.8,,,
809,Alberta,Cremona,Village,457,463,?1.3,1.71,267.8,,,
810,Alberta,Crossfield,Town,"2,853","2,668",6.9,11.87,240.3,,,
811,Alberta,Crystal Springs,Summer village,90,112,?19.6,0.58,156,,,
812,Alberta,Czar,Village,167,175,?4.6,1.18,141.6,,,
813,Alberta,Daysland,Town,807,818,?1.3,1.75,461.2,,,
814,Alberta,Delburne,Village,830,765,8.5,3.92,211.5,,,
815,Alberta,Delia,Village,186,207,?10.1,1.31,142.5,,,
816,Alberta,Devon,Town,"6,510","6,261",4,11.72,555.6,,,
817,Alberta,Dewberry,Village,201,196,2.6,0.84,238.5,,,
818,Alberta,Didsbury,Town,"4,957","4,305",15.1,16.08,308.2,,,
819,Alberta,Donalda,Village,259,224,15.6,0.99,262.3,,,
820,Alberta,Donnelly,Village,305,293,4.1,1.27,239.9,,,
821,Alberta,Drayton Valley,Town,"7,049","6,893",2.3,12.27,574.3,,,
822,Alberta,Drumheller,Town,"8,029","7,932",1.2,107.93,74.4,,,
823,Alberta,Duchess,Village,992,978,1.4,1.89,526.2,,,
824,Alberta,Eckville,Town,"1,125",951,18.3,1.58,710.8,,,
825,Alberta,Edberg,Village,168,155,8.4,0.36,470.9,,,
826,Alberta,Edgerton,Village,317,373,?15.0,1.89,168.1,,,
827,Alberta,Edmonton,City,"8,12,201","7,30,372",11.2,684.37,"1,186.80",,,
828,Alberta,Edson,Town,"8,475","8,098",4.7,29.58,286.5,,,
829,Alberta,Elk Point,Town,"1,412","1,487",?5.0,4.88,289.1,,,
830,Alberta,Elnora,Village,313,280,11.8,1.48,210.9,,,
831,Alberta,Empress,Village,188,136,38.2,1.75,107.6,,,
832,Alberta,Fairview,Town,"3,162","3,297",?4.1,11.3,279.8,,,
833,Alberta,Falher,Town,"1,075",941,14.2,2.87,374.7,,,
834,Alberta,Ferintosh,Village,181,153,18.3,0.62,290.2,,,
835,Alberta,Foremost,Village,526,524,0.4,1.89,277.8,,,
836,Alberta,Forestburg,Village,831,895,?7.2,2.75,302,,,
837,Alberta,Fort Macleod,Town,"3,117","3,072",1.5,23.34,133.5,,,
838,Alberta,Fort Saskatchewan,City,"19,051","14,957",27.4,48.12,395.9,,,
839,Alberta,Fox Creek,Town,"1,969","2,278",?13.6,11.54,170.6,,,
840,Alberta,Gadsby,Village,25,35,?28.6,0.82,30.5,,,
841,Alberta,Galahad,Village,119,134,?11.2,0.6,199.7,,,
842,Alberta,Ghost Lake,Summer village,81,78,3.8,0.63,129.4,,,
843,Alberta,Gibbons,Town,"3,030","2,642",14.7,7.39,409.9,,,
844,Alberta,Girouxville,Village,266,282,?5.7,0.58,461.2,,,
845,Alberta,Glendon,Village,486,421,15.4,1.98,245.1,,,
846,Alberta,Glenwood,Village,287,280,2.5,1.46,197.2,,,
847,Alberta,Golden Days,Summer village,141,207,?31.9,2.27,62,,,
848,Alberta,Grande Cache,Town,"4,319","3,783",14.2,35.48,121.7,,,
849,Alberta,Grande Prairie,City,"55,032","47,107",16.8,72.8,755.9,,,
850,Alberta,Grandview,Summer village,108,127,?15.0,0.8,135.6,,,
851,Alberta,Granum,Town,447,415,7.7,1.87,239.6,,,
852,Alberta,Grimshaw,Town,"2,515","2,537",?0.9,7.21,349,,,
853,Alberta,Gull Lake,Summer village,122,204,?40.2,0.7,174.9,,,
854,Alberta,Half Moon Bay,Summer village,38,32,18.8,0.17,229.2,,,
855,Alberta,Halkirk,Village,121,113,7.1,0.65,185.7,,,
856,Alberta,Hanna,Town,"2,673","2,847",?6.1,8.56,312.4,,,
857,Alberta,Hardisty,Town,639,760,?15.9,5.48,116.6,,,
858,Alberta,Hay Lakes,Village,425,362,17.4,0.58,730.1,,,
859,Alberta,Heisler,Village,151,153,?1.3,0.76,199.9,,,
860,Alberta,High Level,Town,"3,641","3,887",?6.3,31.99,113.8,,,
861,Alberta,High Prairie,Town,"2,600","2,785",?6.6,7.92,328.2,,,
862,Alberta,High River,Town,"12,920","10,716",20.6,14.27,905.5,,,
863,Alberta,Hill Spring,Village,186,192,?3.1,1.11,167.2,,,
864,Alberta,Hines Creek,Village,380,430,?11.6,4.37,86.9,,,
865,Alberta,Hinton,Town,"9,640","9,738",?1.0,33.77,285.4,,,
866,Alberta,Holden,Village,381,398,?4.3,1.7,224.3,,,
867,Alberta,Horseshoe Bay,Summer village,37,214,?82.7,1.04,35.4,,,
868,Alberta,Hughenden,Village,230,231,?0.4,0.78,296.6,,,
869,Alberta,Hussar,Village,176,187,?5.9,0.99,177.8,,,
870,Alberta,Hythe,Village,820,821,?0.1,4.12,198.8,,,
871,Alberta,Innisfail,Town,"7,876","7,331",7.4,19.53,403.2,,,
872,Alberta,Innisfree,Village,220,233,?5.6,1.27,172.6,,,
873,Alberta,Irma,Village,457,444,2.9,1.11,410.7,,,
874,Alberta,Irricana,Town,"1,162","1,243",?6.5,3.18,364.9,,,
875,Alberta,Island Lake South,Summer village,72,105,?31.4,0.63,114.3,,,
876,Alberta,Island Lake,Summer village,243,351,?30.8,1.45,167.8,,,
877,Alberta,Itaska Beach,Summer village,20,35,?42.9,0.28,70.8,,,
878,Alberta,Jarvis Bay,Summer village,203,183,10.9,0.55,371.1,,,
879,Alberta,Kapasiwin,Summer village,10,15,?33.3,0.31,32.3,,,
880,Alberta,Killam,Town,981,"1,019",?3.7,4.53,216.3,,,
881,Alberta,Kitscoty,Village,846,709,19.3,1.54,549.8,,,
882,Alberta,Lacombe,City,"11,707","10,752",8.9,20.89,560.3,,,
883,Alberta,Lakeview,Summer village,26,36,?27.8,0.33,78.8,,,
884,Alberta,Lamont,Town,"1,753","1,669",5,9.27,189.2,,,
885,Alberta,Larkspur,Summer village,38,56,?32.1,0.22,172,,,
886,Alberta,Leduc,City,"24,279","16,967",43.1,36.97,656.7,,,
887,Alberta,Legal,Town,"1,225","1,192",2.8,3.22,381,,,
888,Alberta,Lethbridge,City,"83,517","74,685",11.8,122.36,682.6,,,
889,Alberta,Linden,Village,725,660,9.8,2.56,283.3,,,
890,Alberta,Lloydminster (part),City,"18,032","15,910",13.3,24.19,745.6,,,
891,Alberta,Lomond,Village,173,175,?1.1,1.28,134.9,,,
892,Alberta,Longview,Village,307,300,2.3,1.09,282.1,,,
893,Alberta,Lougheed,Village,233,217,7.4,1.92,121.5,,,
894,Alberta,Magrath,Town,"2,217","2,081",6.5,4.97,446.2,,,
895,Alberta,Ma-Me-O Beach,Summer village,113,155,?27.1,0.65,173.4,,,
896,Alberta,Manning,Town,"1,164","1,493",?22.0,3.42,340,,,
897,Alberta,Mannville,Village,803,782,2.7,2.15,373.6,,,
898,Alberta,Marwayne,Village,612,521,17.5,1.68,364.5,,,
899,Alberta,Mayerthorpe,Town,"1,398","1,474",?5.2,4.78,292.7,,,
900,Alberta,McLennan,Town,809,824,?1.8,3.58,226.2,,,
901,Alberta,Medicine Hat,City,"60,005","56,997",5.3,112.01,535.7,,,
902,Alberta,Mewatha Beach,Summer village,79,167,?52.7,0.78,101.9,,,
903,Alberta,Milk River,Town,811,816,?0.6,2.39,339.6,,,
904,Alberta,Millet,Town,"2,092","2,068",1.2,3.74,558.7,,,
905,Alberta,Milo,Village,122,100,22,1.04,116.9,,,
906,Alberta,Minburn,Village,105,65,61.5,0.73,144.2,,,
907,Alberta,Morinville,Town,"8,569","6,775",26.5,11.34,755.6,,,
908,Alberta,Morrin,Village,245,253,?3.2,0.82,298.9,,,
909,Alberta,Mundare,Town,855,712,20.1,4.2,203.6,,,
910,Alberta,Munson,Village,204,217,?6.0,2.6,78.5,,,
911,Alberta,Myrnam,Village,370,362,2.2,2.76,134.2,,,
912,Alberta,Nakamun Park,Summer village,36,88,?59.1,0.41,88.7,,,
913,Alberta,Nampa,Village,362,360,0.6,1.86,194.9,,,
914,Alberta,Nanton,Town,"2,132","2,055",3.7,4.8,443.9,,,
915,Alberta,Nobleford,Village,"1,000",689,45.1,1.54,647.8,,,
916,Alberta,Norglenwold,Summer village,232,270,?14.1,0.67,345.2,,,
917,Alberta,Norris Beach,Summer village,46,40,15,0.16,285.5,,,
918,Alberta,Okotoks,Town,"24,511","17,150",42.9,19.24,"1,273.80",,,
919,Alberta,Olds,Town,"8,235","7,253",13.5,14.87,553.8,,,
920,Alberta,Onoway,Town,"1,039",875,18.7,3.34,311.5,,,
921,Alberta,Oyen,Town,973,"1,015",?4.1,4.93,197.4,,,
922,Alberta,Paradise Valley,Village,174,183,?4.9,0.57,306.9,,,
923,Alberta,Parkland Beach,Summer village,124,135,?8.1,0.93,133.8,,,
924,Alberta,Peace River,Town,"6,729","6,315",6.6,25.92,259.6,,,
925,Alberta,Pelican Narrows,Summer village,162,141,14.9,0.7,230,,,
926,Alberta,Penhold,Town,"2,375","1,971",20.5,5.33,445.3,,,
927,Alberta,Picture Butte,Town,"1,650","1,592",3.6,2.9,569.5,,,
928,Alberta,Pincher Creek,Town,"3,685","3,625",1.7,10.19,361.6,,,
929,Alberta,Point Alison,Summer village,15,15,0,0.16,92.9,,,
930,Alberta,Ponoka,Town,"6,773","6,576",3,13.05,519.2,,,
931,Alberta,Poplar Bay,Summer village,80,84,?4.8,0.79,101,,,
932,Alberta,Provost,Town,"2,041","2,072",?1.5,4.93,413.8,,,
933,Alberta,Rainbow Lake,Town,870,965,?9.8,11.04,78.8,,,
934,Alberta,Raymond,Town,"3,743","3,225",16.1,6.85,546.1,,,
935,Alberta,Red Deer,City,"90,564","83,154",8.9,104.29,868.4,,,
936,Alberta,Redcliff,Town,"5,588","5,116",9.2,16.2,344.9,,,
937,Alberta,Redwater,Town,"1,915","2,202",?13.0,20.12,95.2,,,
938,Alberta,Rimbey,Town,"2,378","2,252",5.6,11.34,209.7,,,
939,Alberta,Rochon Sands,Summer village,65,66,?1.5,2.32,28,,,
940,Alberta,Rocky Mountain House,Town,"6,933","6,874",0.9,12.99,533.6,,,
941,Alberta,Rockyford,Village,325,349,?6.9,1.08,300,,,
942,Alberta,Rosalind,Village,190,190,0,0.59,322.2,,,
943,Alberta,Rosemary,Village,342,388,?11.9,0.56,607.8,,,
944,Alberta,Ross Haven,Summer village,137,198,?30.8,0.7,194.5,,,
945,Alberta,Rycroft,Village,628,638,?1.6,1.69,372.5,,,
946,Alberta,Ryley,Village,497,458,8.5,1.97,251.9,,,
947,Alberta,Sandy Beach,Summer village,223,239,?6.7,2.43,91.8,,,
948,Alberta,Seba Beach,Summer village,143,203,?29.6,0.71,201.1,,,
949,Alberta,Sedgewick,Town,857,891,?3.8,2.6,329.1,,,
950,Alberta,Sexsmith,Town,"2,418","1,969",22.8,13.43,180.1,,,
951,Alberta,Silver Beach,Summer village,52,47,10.6,0.66,78.2,,,
952,Alberta,Silver Sands,Summer village,85,173,?50.9,2.35,36.2,,,
953,Alberta,Slave Lake,Town,"6,782","6,703",1.2,14.18,478.4,,,
954,Alberta,Smoky Lake,Town,"1,022","1,010",1.2,4.2,243.5,,,
955,Alberta,South Baptiste,Summer village,52,69,?24.6,1.05,49.6,,,
956,Alberta,South View,Summer village,35,115,?69.6,0.69,51,,,
957,Alberta,Spirit River,Town,"1,025","1,148",?10.7,2.81,365.4,,,
958,Alberta,Spring Lake,Village,533,501,6.4,2.12,251.5,,,
959,Alberta,Spruce Grove,City,"26,171","19,541",33.9,32.37,808.6,,,
960,Alberta,St. Albert,City,"61,466","57,764",6.4,48.27,"1,273.40",,,
961,Alberta,St. Paul,Town,"5,400","5,106",5.8,7.89,684.7,,,
962,Alberta,Standard,Village,379,380,?0.3,2.34,162.1,,,
963,Alberta,Stavely,Town,505,435,16.1,1.62,311.3,,,
964,Alberta,Stettler,Town,"5,748","5,445",5.6,13.12,438.2,,,
965,Alberta,Stirling,Village,"1,090",921,18.3,2.64,413.6,,,
966,Alberta,Stony Plain,Town,"15,051","12,363",21.7,35.61,422.7,,,
967,Alberta,Strathmore,Town,"12,305","10,280",19.7,27.28,451,,,
968,Alberta,Strome,Village,228,252,?9.5,0.92,248.4,,,
969,Alberta,Sunbreaker Cove,Summer village,69,137,?49.6,0.49,140.6,,,
970,Alberta,Sundance Beach,Summer village,82,102,?19.6,0.42,196.2,,,
971,Alberta,Sundre,Town,"2,610","2,523",3.4,11.16,233.9,,,
972,Alberta,Sunrise Beach,Summer village,149,170,?12.4,1.72,86.4,,,
973,Alberta,Sunset Beach,Summer village,44,88,?50.0,0.99,44.4,,,
974,Alberta,Sunset Point,Summer village,221,242,?8.7,1.11,198.6,,,
975,Alberta,Swan Hills,Town,"1,465","1,645",?10.9,25.44,57.6,,,
976,Alberta,Sylvan Lake,Town,"12,327","10,250",20.3,15.62,789.4,,,
977,Alberta,Taber,Town,"8,104","7,591",6.8,15.09,537.2,,,
978,Alberta,Thorsby,Village,951,945,0.6,3.87,245.7,,,
979,Alberta,Three Hills,Town,"3,198","3,089",3.5,5.63,567.8,,,
980,Alberta,Tofield,Town,"2,182","1,876",16.3,8.17,267.1,,,
981,Alberta,Trochu,Town,"1,072","1,005",6.7,2.82,380.1,,,
982,Alberta,Turner Valley,Town,"2,167","1,908",13.6,5.45,397.6,,,
983,Alberta,Two Hills,Town,"1,379","1,047",31.7,3.31,416.3,,,
984,Alberta,Val Quentin,Summer village,157,181,?13.3,0.3,522.5,,,
985,Alberta,Valleyview,Town,"1,761","1,725",2.1,9.66,182.2,,,
986,Alberta,Vauxhall,Town,"1,288","1,069",20.5,2.88,447.6,,,
987,Alberta,Vegreville,Town,"5,717","5,519",3.6,13.92,410.6,,,
988,Alberta,Vermilion,Town,"3,930","4,036",?2.6,13.69,287,,,
989,Alberta,Veteran,Village,249,293,?15.0,0.84,297,,,
990,Alberta,Viking,Town,"1,041","1,085",?4.1,3.76,277.1,,,
991,Alberta,Vilna,Village,249,274,?9.1,0.9,277.5,,,
992,Alberta,Vulcan,Town,"1,836","1,940",?5.4,6.58,279,,,
993,Alberta,Wabamun,Village,661,601,10,3.24,203.8,,,
994,Alberta,Wainwright,Town,"5,925","5,426",9.2,8.91,665.4,,,
995,Alberta,Waiparous,Summer village,42,49,?14.3,0.41,103,,,
996,Alberta,Warburg,Village,789,621,27.1,2.7,292.6,,,
997,Alberta,Warner,Village,331,307,7.8,1.15,288.5,,,
998,Alberta,Waskatenau,Village,255,278,?8.3,0.6,427.6,,,
999,Alberta,Wembley,Town,"1,383","1,443",?4.2,4.54,304.8,,,
1000,Alberta,West Baptiste,Summer village,52,104,?50.0,0.6,86.2,,,
1001,Alberta,West Cove,Summer village,121,169,?28.4,1.21,100.1,,,
1002,Alberta,Westlock,Town,"4,823","5,008",?3.7,13.57,355.3,,,
1003,Alberta,Wetaskiwin,City,"12,525","11,689",7.2,18.2,688.2,,,
1004,Alberta,Whispering Hills,Summer village,108,125,?13.6,1.73,62.3,,,
1005,Alberta,White Sands,Summer village,91,120,?24.2,1.6,57,,,
1006,Alberta,Whitecourt,Town,"9,605","8,971",7.1,26.14,367.4,,,
1007,Alberta,Willingdon,Village,275,295,?6.8,0.97,283.8,,,
1008,Alberta,Yellowstone,Summer village,124,170,?27.1,0.28,438.5,,,
1009,Alberta,Youngstown,Village,178,170,4.7,1,177.7,,,
1010,Alberta,MD of Acadia No. 34,Municipal district,495,545,?9.2,"1,076.26",0.5,,,
1011,Alberta,Athabasca County,Municipal district,"7,662","7,572",1.2,"6,122.75",1.3,,,
1012,Alberta,County of Barrhead No. 11,Municipal district,"6,096","5,845",4.3,"2,404.70",2.5,,,
1013,Alberta,Beaver County,Municipal district,"5,689","5,676",0.2,"3,315.84",1.7,,,
1014,Alberta,Big Lakes County,Municipal district,"4,194","3,995",5,"11,965.83",0.3,,,
1015,Alberta,MD of Bighorn No. 8,Municipal district,"1,341","1,264",6.1,"2,767.94",0.5,,,
1016,Alberta,Birch Hills County,Municipal district,"1,582","1,470",7.6,"2,856.69",0.6,,,
1017,Alberta,MD of Bonnyville No. 87,Municipal district,"10,101","9,047",11.7,"5,451.49",1.9,,,
1018,Alberta,Brazeau County,Municipal district,"7,201","7,040",2.3,"3,020.71",2.4,,,
1019,Alberta,Camrose County,Municipal district,"7,721","7,150",8,"3,320.61",2.3,,,
1020,Alberta,Cardston County,Municipal district,"4,167","4,037",3.2,"3,414.87",1.2,,,
1021,Alberta,Clear Hills County,Municipal district,"2,801","2,714",3.2,"15,115.03",0.2,,,
