SNo,Provinces,Name,Municipal sub-type,Population -2011,Population -2006,Change (%),Land area (km²),Population density (per km2),,,
76, Ontario,Chatham-Kent,Municipality,"1,03,671","1,08,177",?4.2,"2,458.09",42.2,,,
77, Ontario,Chatsworth,Township,"6,437","6,392",0.7,596.18,10.8,,,
78, Ontario,Chisholm,Township,"1,263","1,318",?4.2,206.79,6.1,,,
79, Ontario,Clarence-Rockland,City,"23,185","20,790",11.5,297.86,77.8,,,
80, Ontario,Clarington,Municipality,"84,548","77,820",8.6,611.3,138.3,,,
81, Ontario,Clearview,Township,"13,734","14,088",?2.5,557.44,24.6,,,
82, Ontario,Cobalt,Town,"1,133","1,224",?7.4,2.05,553,,,
83, Ontario,Cobourg,Town,"18,519","18,210",1.7,22.37,827.8,,,
84, Ontario,Cochrane,Town,"5,340","5,487",?2.7,539.02,9.9,,,
85, Ontario,Cockburn Island,Township,0,10,?100.0,171.04,0,,,
86, Ontario,Coleman,Township,597,540,10.6,178.82,3.3,,,
87, Ontario,Collingwood,Town,"19,241","17,290",11.3,33.46,575.1,,,
88, Ontario,Conmee,Township,764,740,3.2,168.81,4.5,,,
89, Ontario,Cornwall,City,"46,340","45,965",0.8,61.52,753.2,,,
90, Ontario,Cramahe,Township,"6,073","5,950",2.1,201.98,30.1,,,
91, Ontario,Dawn-Euphemia,Township,"2,049","2,190",?6.4,445.13,4.6,,,
92, Ontario,Dawson,Township,563,620,?9.2,338.35,1.7,,,
93, Ontario,Deep River,Town,"4,193","4,216",?0.5,50.9,82.4,,,
94, Ontario,Deseronto,Town,"1,835","1,824",0.6,2.52,728.3,,,
95, Ontario,Dorion,Township,338,379,?10.8,212.12,1.6,,,
96, Ontario,Douro-Dummer,Township,"6,805","6,954",?2.1,458.98,14.8,,,
97, Ontario,Drummond/North Elmsley,Township,"7,487","7,118",5.2,366.03,20.5,,,
98, Ontario,Dryden,City,"7,617","8,195",?7.1,65.84,115.7,,,
99, Ontario,Dubreuilville,Township,635,773,?17.9,89.57,7.1,,,
100, Ontario,Dutton/Dunwich,Municipality,"3,876","3,821",1.4,294.64,13.2,,,
101, Ontario,"Dysart, Dudley, Harcourt, Guilford, Harburn, Bruton, Havelock, Eyre and Clyde",Township,"5,966","5,526",8,"1,483.51",4,,,
102, Ontario,Ear Falls,Township,"1,026","1,153",?11.0,331.03,3.1,,,
103, Ontario,East Ferris,Township,"4,766","4,228",12.7,155.03,30.7,,,
